Area name,CountryName
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Not in DataBase
Angola,Angola
Antigua and Barbuda,Not in DataBase
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,"Bahamas, The"
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cape Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,"Congo, Republic of"
Cook Islands,Not in DataBase
Costa Rica,Costa Rica
Côte d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czechia,Czech Republic
Democratic People's Republic of Korea,"Korea, Democratic People's Republic of"
Democratic Republic of the Congo,"Congo, Democratic Republic of"
Denmark,Denmark
Djibouti,Djibouti
Dominica,Not in DataBase
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,"Egypt, Arab Republic of"
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faroe Islands,Not in DataBase
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
Gambia,"Gambia, The"
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Holy See,Not in DataBase
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran (Islamic Republic of),"Iran, Islamic Republic of"
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Not in DataBase
Kuwait,Kuwait
Kyrgyzstan,Kyrgyz Republic
Lao People's Democratic Republic,"Laos, People's Democratic Republic"
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Not in DataBase
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Not in DataBase
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Micronesia (Federated States of),Micronesia (Federated States of)
Monaco,Not in DataBase
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Not in DataBase
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Not in DataBase
Norway,Norway
Occupied Palestinian Territory,Palestine
Oman,Oman
Pakistan,Pakistan
Palau,Not in DataBase
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Korea,"Korea, Republic of"
Republic of Moldova,Moldova
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Saint Kitts and Nevis,Not in DataBase
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
Samoa,Samoa
San Marino,Not in DataBase
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovak Republic
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,Sudan South
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
Tajikistan,Tajikistan
Thailand,Thailand
The former Yugoslav Republic of Macedonia,"Macedonia, Former Yugoslav Republic of"
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Not in DataBase
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Not in DataBase
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United Republic of Tanzania,Tanzania
United States of America,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Yemen,"Yemen, Republic of"
Zambia,Zambia
Zimbabwe,Zimbabwe
