CodeinIfs,Series
SP.POP.DPND,PopAgeDependRatio
AG.LND.IRIG.AG.ZS,LandIr%
AG.LND.TRAC.ZS,AgMachTracper100H
TX.VAL.AGRI.ZS.UN,AgRawEx%MerchEx
TM.VAL.AGRI.ZS.UN,AgRawIm%MerchIm
NV.AGR.TOTL.ZS,VaddAg%
IS.AIR.GOOD.MT.K1,TransAirFreight
IS.AIR.PSGR,TransAirPassengers
IS.AIR.DPRT,TransAircraftDeparts
ER.H2O.FWAG.ZS,WaterWithAgr%Fresh
ER.H2O.FWDM.ZS,WaterWithDom%Fresh
ER.H2O.FWIN.ZS,WaterWithInd%Fresh
ER.H2O.FWTL.K3,WaterAnWithdrawalsNew
AG.LND.ARBL.ZS,LandArable%Total
AG.LND.ARBL.HA,LandArable
SH.STA.ARIC.ZS,HealthARITreatmentChil
MS.MIL.TOTL.TF.ZS,GovMilPers%Labor
MS.MIL.XPRT.KD,ArmsExp%TotExp
MS.MIL.MPRT.KD,ArmsImp%TotImp
IC.CUS.DURS.EX,GovWBDoingBusinessCustomsDays
SP.DYN.CBRT.IN,CBR
SH.STA.BRTC.ZS,HealthBrthsAttnSkilledPersWDI
GC.DOD.TOTL.GD.ZS,GovtDebt%GDP
BM.GSR.ROYL.CD,XRoyalLicPayments
BX.GSR.ROYL.CD,XRoyalLicReceipts
SL.TLF.0714.WK.ZS,LaborEconActiveChildren%
EN.ATM.CO2E.PP.GD.KD,EmissionsCO2per2000$PPP
EN.ATM.CO2E.KT,EmissionsCO2WDI
EN.ATM.CO2E.PC,EmissionsCO2perCap
EG.USE.CRNW.ZS,EnConComRenewWaste
GC.XPN.COMP.ZS,GovEmplComp%Exp
TX.VAL.OTHR.ZS.WT,ICTCommCompEx%Ser
TM.VAL.OTHR.ZS.WT,ICTCommCompIm%Ser
FP.CPI.TOTL,ConsumerPriceIndex
IS.SHP.GOOD.TU,TransContainerTraf
SP.DYN.CONU.ZS,PopContrUse%WDI
IC.REG.COST.PC.ZS,GovWBDoingBusinessCostofStarting
BN.CAB.XOKA.GD.ZS,XCurActBal%GDP
BN.CAB.XOKA.CD,XCurActBal
GC.TAX.IMPT.ZS,TaxImportDuties%Imp
SP.DYN.CDRT.IN,CDR
DT.TDS.DPPG.CD,XDebtServPPG%Exports
DT.TDS.DECT.CD,XDebtServiceTot
PA.NUS.ATLS,GDPAltCovFactDEC
SH.STA.ORCF.ZS,HealthDiarrhORTChil%
NY.GDP.DISC.CN,GDPCurLCU
EG.USE.ELEC.KH.PC,EnConElecPerCap
EG.ELC.LOSS.ZS,EnElecTransLoss%
EG.ELC.COAL.ZS,EnProdElec%Coal
