Country,Country name in IFs
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
American Samoa,Not in Ifs
Andorra,Not in Ifs
Angola,Angola
Antigua and Barbuda,Not in Ifs
Arab World,Not in Ifs
Argentina,Argentina
Armenia,Armenia
Aruba,Not in Ifs
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
"Bahamas, The","Bahamas, The"
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Not in Ifs
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,Not in Ifs
Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Caribbean small states,Not in Ifs
Cayman Islands,Not in Ifs
Central African Republic,Central African Republic
Central Europe and the Baltics,Not in Ifs
Chad,Chad
Channel Islands,Not in Ifs
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
"Congo, Dem. Rep.","Congo, Dem. Rep."
"Congo, Rep.","Congo, Rep."
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curacao,Not in Ifs
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,Djibouti
Dominica,Not in Ifs
Dominican Republic,Dominican Republic
Early-demographic dividend,Not in Ifs
East Asia & Pacific,Not in Ifs
East Asia & Pacific (IDA & IBRD countries),Not in Ifs
East Asia & Pacific (excluding high income),Not in Ifs
Ecuador,Ecuador
"Egypt, Arab Rep.","Egypt, Arab Rep."
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Euro area,Not in Ifs
Europe & Central Asia,Not in Ifs
Europe & Central Asia (IDA & IBRD countries),Not in Ifs
Europe & Central Asia (excluding high income),Not in Ifs
European Union,Not in Ifs
Faroe Islands,Not in Ifs
Fiji,Fiji
Finland,Finland
Fragile and conflict affected situations,Not in Ifs
France,France
French Polynesia,Not in Ifs
Gabon,Gabon
"Gambia, The","Gambia, The"
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Not in Ifs
Greece,Greece
Greenland,Not in Ifs
Grenada,Grenada
Guam,Not in Ifs
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Heavily indebted poor countries (HIPC),Not in Ifs
High income,Not in Ifs
Honduras,Honduras
"Hong Kong SAR, China","Hong Kong SAR, China"
Hungary,Hungary
IBRD only,Not in Ifs
IDA & IBRD total,Not in Ifs
IDA blend,Not in Ifs
IDA only,Not in Ifs
IDA total,Not in Ifs
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Rep.","Iran, Islamic Rep."
Iraq,Iraq
Ireland,Ireland
Isle of Man,Not in Ifs
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Not in Ifs
"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep."
"Korea, Rep.","Korea, Rep."
