"Total Electricity Installed Capacity 1981"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=1981&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:05:26 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",597,29
,2,"Former U.S.S.R.",278,13
,3,"Japan",150,7
,4,"Germany, West",85,4
,5,"Canada",82,4
,6,"France",71,3
,7,"China",69,3
,8,"United Kingdom",69,3
,9,"Italy",47,2
,10,"India",37,2
,11,"Brazil",36,2
,12,"Spain",32,2
,13,"Sweden",28,1
,14,"Australia",26,1
,15,"Poland",25,1
,16,"South Africa",24,1
,17,"Norway",22,1
,18,"Germany, East",21,1
,19,"Mexico",20,1
,20,"Netherlands",18,1
,21,"Former Czechoslovakia",17,1
,22,"Romania",17,1
,23,"Switzerland",16,1
,24,"Former Yugoslavia",15,1
,25,"Austria",14,1
,26,"Argentina",13,1
,27,"Iran",12,1
,28,"Belgium",11,1
,29,"Finland",11,1
,30,"Taiwan",11,1
,31,"Venezuela",10,0
,32,"Korea, South",9.4,0
,33,"Saudi Arabia",9.1,0
,34,"Bulgaria",9,0
,35,"Denmark",7.7,0
,36,"Korea, North",7,0
,37,"Greece",6,0
,38,"Indonesia",5.9,0
,39,"New Zealand",5.7,0
,40,"Turkey",5.5,0
,41,"Hungary",5.4,0
,42,"Egypt",5.2,0
,43,"Thailand",4.9,0
,44,"Colombia",4.9,0
,45,"Portugal",4.6,0
,46,"Philippines",4.5,0
,47,"Pakistan",4.1,0
,48,"Puerto Rico",4.1,0
,49,"Hong Kong",3.6,0
,50,"Israel",3.5,0
,51,"Kuwait",3.4,0
,52,"Peru",3.4,0
,53,"Chile",3.4,0
,54,"Ireland",3.3,0
,55,"Malaysia",3.1,0
,56,"United Arab Emirates",3,0
,57,"Cuba",3,0
,58,"Algeria",2.8,0
,59,"Nigeria",2.8,0
,60,"Singapore",2.1,0
,61,"Syria",1.8,0
,62,"Mozambique",1.8,0
,63,"Iraq",1.7,0
,63,"Morocco",1.7,0
,65,"Congo (Kinshasa)",1.7,0
,66,"Zambia",1.6,0
,67,"Uruguay",1.4,0
,68,"Ecuador",1.3,0
,69,"Luxembourg",1.3,0
,70,"Libya",1.2,0
,70,"Vietnam",1.2,0
,72,"Cote dIvoire (IvoryCoast)",1.2,0
,73,"Zimbabwe",1.1,0
,74,"Ghana",1.1,0
,75,"Bangladesh",1,0
,76,"Dominican Republic",1,0
,77,"Tunisia",0.9,0
,78,"Qatar",0.8,0
,79,"Iceland",0.8,0
,80,"Trinidad and Tobago",0.8,0
,81,"Jamaica",0.7,0
,82,"Burma (Myanmar)",0.7,0
,83,"Lebanon",0.7,0
,84,"Costa Rica",0.6,0
,85,"Jordan",0.6,0
,86,"Albania",0.6,0
,87,"Oman",0.6,0
,88,"Angola",0.6,0
,89,"Bahrain",0.6,0
,90,"Panama",0.6,0
,91,"Sri Lanka",0.6,0
,92,"Cameroon",0.6,0
,93,"Kenya",0.5,0
,94,"Bolivia",0.5,0
,95,"Guatemala",0.5,0
,96,"Papua New Guinea",0.4,0
,97,"Mongolia",0.4,0
,98,"Tanzania",0.4,0
,99,"Afghanistan",0.4,0
,100,"Suriname",0.4,0
,101,"El Salvador",0.4,0
,102,"New Caledonia",0.4,0
,103,"Nicaragua",0.4,0
,104,"Bahamas, The",0.4,0
,105,"Netherlands Antilles",0.4,0
,106,"Virgin Islands,  U.S.",0.3,0
,107,"Cyprus",0.3,0
,108,"Liberia",0.3,0
,109,"Sudan",0.3,0
,110,"Paraguay",0.3,0
,111,"Honduras",0.2,0
,112,"Mauritius",0.2,0
,113,"Ethiopia",0.2,0
,114,"Brunei",0.2,0
,115,"Yemen",0.2,0
,116,"Guam",0.2,0
,117,"Gabon",0.2,0
,118,"Senegal",0.2,0
,119,"Laos",0.2,0
,120,"Guyana",0.2,0
,121,"Guinea",0.2,0
,122,"Uganda",0.2,0
,123,"Malta",0.2,0
,124,"Malawi",0.1,0
,125,"Guadeloupe",0.1,0
,126,"Nepal",0.1,0
,127,"Reunion",0.1,0
,128,"Botswana",0.1,0
,129,"Haiti",0.1,0
,130,"Bermuda",0.1,0
,130,"Congo (Brazzaville)",0.1,0
,132,"Fiji",0.1,0
,133,"Macau",0.1,0
,134,"Madagascar",0.1,0
,--,"Barbados",(s),0
,--,"Greenland",(s),0
,--,"Swaziland",(s),0
,--,"Sierra Leone",(s),0
,--,"Mali",(s),0
,--,"Martinique",(s),0
,--,"French Polynesia",(s),0
,--,"Mauritania",(s),0
,--,"Rwanda",(s),0
,--,"Western Sahara",(s),0
,--,"Burkina Faso",(s),0
,--,"Niger",(s),0
,--,"Somalia",(s),0
,--,"Faroe Islands",(s),0
,--,"U.S. Pacific Islands",(s),0
,--,"Cambodia",(s),0
,--,"Djibouti",(s),0
,--,"Central African Republic",(s),0
,--,"French Guiana",(s),0
,--,"Togo",(s),0
,--,"American Samoa",(s),0
,--,"Chad",(s),0
,--,"Antigua and Barbuda",(s),0
,--,"Gibraltar",(s),0
,--,"Belize",(s),0
,--,"Cayman Islands",(s),0
,--,"Seychelles",(s),0
,--,"Saint Pierre and Miquelon",(s),0
,--,"Samoa",(s),0
,--,"Saint Lucia",(s),0
,--,"Benin",(s),0
,--,"Bhutan",(s),0
,--,"Saint Kitts and Nevis",(s),0
,--,"Gambia, The",(s),0
,--,"Burundi",(s),0
,--,"Solomon Islands",(s),0
,--,"Nauru",(s),0
,--,"Saint Vincent/Grenadines",(s),0
,--,"Vanuatu",(s),0
,--,"Grenada",(s),0
,--,"Guinea-Bissau",(s),0
,--,"Cook Islands",(s),0
,--,"Tonga",(s),0
,--,"Comoros",(s),0
,--,"Dominica",(s),0
,--,"Equatorial Guinea",(s),0
,--,"Sao Tome and Principe",(s),0
,--,"Virgin Islands, British",(s),0
,--,"Cape Verde",(s),0
,--,"Montserrat",(s),0
,--,"Turks and Caicos Islands",(s),0
,--,"Kiribati",(s),0
,--,"Maldives",(s),0
,--,"Falkland Islands (Islas Malvinas)",(s),0
,--,"Niue",(s),0
,--,"Antarctica",0,0
,--,"Hawaiian Trade Zone",0,0
,--,"Lesotho",0,0
,--,"Saint Helena",0,0
,--,"Wake Island",0,0
