"Total Electricity Installed Capacity 2012"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2012&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:22:55 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"China",1151,21
,2,"United States",1063,19
,3,"Japan",295,5
,4,"India",262,5
,5,"Russia",235,4
,6,"Germany",178,3
,7,"Canada",131,2
,8,"France",128,2
,9,"Italy",125,2
,10,"Brazil",121,2
,11,"Spain",105,2
,12,"United Kingdom",95,2
,13,"Korea, South",88,2
,14,"Iran",74,1
,15,"Australia",65,1
,16,"Mexico",64,1
,17,"Saudi Arabia",62,1
,18,"Turkey",57,1
,19,"Ukraine",54,1
,20,"Taiwan",48,1
,21,"Indonesia",47,1
,22,"South Africa",44,1
,23,"Sweden",38,1
,24,"Thailand",36,1
,25,"Argentina",36,1
,26,"Poland",35,1
,27,"Norway",33,1
,28,"Netherlands",30,1
,29,"Egypt",29,1
,30,"Malaysia",29,1
,31,"Venezuela",29,1
,32,"United Arab Emirates",27,0
,33,"Vietnam",27,0
,34,"Pakistan",23,0
,35,"Austria",23,0
,36,"Romania",22,0
,37,"Belgium",21,0
,38,"Czech Republic",20,0
,39,"Portugal",20,0
,40,"Kazakhstan",19,0
,41,"Switzerland",19,0
,42,"Chile",18,0
,43,"Greece",18,0
,44,"Philippines",18,0
,45,"Finland",16,0
,46,"Kuwait",15,0
,47,"Colombia",15,0
,48,"Israel",14,0
,49,"Denmark",14,0
,50,"Algeria",13,0
,51,"Iraq",13,0
,52,"Hong Kong",13,0
,53,"Uzbekistan",13,0
,54,"Bulgaria",12,0
,55,"Singapore",11,0
,56,"Peru",9.8,0
,57,"New Zealand",9.7,0
,58,"Korea, North",9.5,0
,59,"Hungary",9.3,0
,60,"Belarus",9.1,0
,61,"Nigeria",9,0
,62,"Libya",8.9,0
,63,"Paraguay",8.8,0
,64,"Ireland",8.6,0
,65,"Slovakia",8.3,0
,66,"Syria",8.2,0
,67,"Bangladesh",8.2,0
,68,"Qatar",7.9,0
,69,"Serbia",7.1,0
,70,"Morocco",6.7,0
,71,"Azerbaijan",6.5,0
,72,"Cuba",6.2,0
,73,"Puerto Rico",6.2,0
,74,"Oman",5.8,0
,75,"Ecuador",5.4,0
,76,"Tajikistan",5.2,0
,77,"Bosnia and Herzegovina",4.5,0
,78,"Lithuania",4.3,0
,79,"Georgia",4.3,0
,80,"Croatia",4.2,0
,81,"Tunisia",4.2,0
,82,"Armenia",4,0
,83,"Bahrain",3.9,0
,84,"Kyrgyzstan",3.9,0
,85,"Burma (Myanmar)",3.7,0
,86,"Jordan",3.4,0
,87,"Sri Lanka",3.4,0
,88,"Turkmenistan",3.4,0
,89,"Slovenia",3.4,0
,90,"Uruguay",3.3,0
,91,"Guatemala",3.3,0
,92,"Dominican Republic",3.2,0
,93,"Sudan",3.1,0
,94,"Laos",3,0
,95,"Estonia",2.9,0
,96,"Costa Rica",2.8,0
,97,"Latvia",2.7,0
,98,"Iceland",2.7,0
,99,"Trinidad and Tobago",2.6,0
