Code in file,Series Name in Ifs
CropsDomesticsupplyquantity,AGCropDomesticSupplyFAO
CropsExportQuantity,AGCropExportsFAO
CropsFatsupplyquantity(g/capita/day),AGCropFatPerCapPerDayFAO
CropsFeed,AGCroptoFeedFAO
CropsFood,AGCroptoFoodFAO
CropsFoodsupply(kcal/capita/day),AGCropCalPerCapPerDayFAO
CropsFoodsupplyquantity(kg/capita/yr),AGCropFoodSupplyPerCapPerDayFAO
CropsImportQuantity,AGCropImportsFAO
CropsLosses,AGCroptoWasteFAO3142
CropsOtheruses,AGCroptoOtherUtilFAO1992
CropsProcessing,AGCroptoFoodManuFAO992
CropsProduction,AGCropProductionFAO951
CropsProteinsupplyquantity(g/capita/day),AGCropProteinPerCapPerDayFAO
CropsSeed,AGCroptoSeedFAO
FishDomesticsupplyquantity,AGFishDomesticSupplyFAO
FishExportQuantity,AGFishExportsFAO
FishFatsupplyquantity(g/capita/day),AGFishFatPerCapPerDayFAO
FishFeed,AGFishtoFeedFAO
FishFood,AGFishtoFoodFAO
FishFoodsupply(kcal/capita/day),AGFishCalPerCapPerDayFAO
FishFoodsupplyquantity(kg/capita/yr),AGFishFoodSupplyPerCapPerDayFAO
FishImportQuantity,AGFishImportsFAO
FishOtheruses,AGFishtoOtherUtilFAO
FishProduction,AGFishProductionFAO
FishProteinsupplyquantity(g/capita/day),AGFishProteinPerCapPerDayFAO
FishSeed,AGFishtoSeedFAO
FishStockVariation,AGFishStockVarFAO
MeatDomesticsupplyquantity,AGMeatDomesticSupplyFAO
MeatExportQuantity,AGMeatExportsFAO
MeatFatsupplyquantity(g/capita/day),AGMeatFatPerCapPerDayFAO
MeatFeed,AGMeattoFeedFAO
MeatFood,AGMeattoFoodFAO
MeatFoodsupply(kcal/capita/day),AGMeatCalPerCapPerDayFAO
MeatFoodsupplyquantity(kg/capita/yr),AGMeatFoodSupplyPerCapPerDayFAO
MeatImportQuantity,AGMeatImportsFAO
MeatLosses,AGMeattoWasteFAO
MeatOtheruses,AGMeattoOtherUtilFAO
MeatProcessing,AGMeattoFoodManuFAO
MeatProduction,AGMeatProductionFAO
MeatProteinsupplyquantity(g/capita/day),AGMeatProteinPerCapPerDayFAO
MeatSeed,AGMeattoSeedFAO
MeatStockVariation,AGMeatStockVarFAO
