measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Cysticercosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
